Settlement,Longitude,Latitude
Bódvalenke,48.536846800000006,20.801084207757356
Bódvarákó,48.5067162,20.740480680577377
Bódvaszilas,48.543755250000004,20.71215474835021
Bogács,47.8937558,20.546210855684713
Boldogkőújfalu,48.3164695,21.259650842609314
Boldogkőváralja,48.337309,21.239132231755946
Boldva,48.2340595,20.822437008578873
Borsodbóta,48.21240385,20.39005259658079
Borsodgeszt,47.9586744,20.69309694678259
Borsodivánka,47.7041965,20.641706192653515
Borsodnádasd,48.1148389,20.232606330093226
Borsodszentgyörgy,48.1777127,20.190972520006916
Borsodszirák,48.2594529,20.759818005535955
Bózsva,48.4746423,21.467721
Bükkábrány,47.886776999999995,20.70097395063441
Bükkaranyos,47.99297775,20.778127073319954
Bükkmogyorósd,48.1136538,20.344003200975365
Bükkszentkereszt,48.06134485,20.603664519138214
Bükkzsérc,48.0012095,20.4999549945795
Büttös,48.48416485,21.020621540537157
Cigánd,48.265861099999995,21.885196404637334
Csenyéte,48.4408898,21.048435356554613
Cserépfalu,47.97127605,20.549007977181876
Cserépváralja,47.934562,20.568956205747433
Csernely,48.149747649999995,20.330600581628882
Csincse,47.8813099,20.78521879141872
Csobád,48.273915450000004,21.0438669833298
Csobaj,48.04715315,21.324829000667677
Csokvaomány,48.17012845,20.361740644713585
Damak,48.316545500000004,20.82463428331001
Dámóc,48.3643359,22.03469508851284
Debréte,48.4915136,20.853900643705927
Dédestapolcsány,48.170163349999996,20.478022396558018
Detek,48.3269983,21.010470438514382
Domaháza,48.1720485,20.089302517629537
Dövény,48.344104099999996,20.533951522784044
Dubicsány,48.2844206,20.4910842
Edelény,48.3043501,20.740621594011927
Egerlövő,47.72788875,20.61638070121773
Égerszög,48.4470685,20.5682093765382
Emőd,47.924919,20.812526127029997
Encs,48.3305743,21.1222112
Erdőbénye,48.267509849999996,21.340163005956008
Erdőhorváti,48.32657195,21.41916309253415
Fáj,48.41308345,21.069664162750364
Fancsal,48.36177395,21.06494606779309
Farkaslyuk,48.184831700000004,20.31098863632363
Felsőberecki,48.358678,21.70157335673695
Felsődobsza,48.2552557,21.0748737
Felsőgagy,48.43888175,21.019475977445136
Felsőkelecsény,48.3601692,20.594314891422307
Felsőnyárád,48.3310637,20.605168414142092
Felsőregmec,48.491310999999996,21.600951391940974
Felsőtelekes,48.409318150000004,20.632868429283374
Felsővadász,48.37054105,20.917669925156368
Felsőzsolca,48.1091373,20.867984352520455
Filkeháza,48.49357285,21.49250401530342
Fony,48.4069597,21.310423367863322
Forró,48.3167693,21.068406771773237
Fulókércs,48.433938600000005,21.11866133834484
Füzér,48.545486,21.449010367248768
Füzérkajata,48.51915505,21.507592149241603
Füzérkomlós,48.514483,21.44820222814036
Füzérradvány,48.4849458,21.522371687024723
Gadna,48.40071315,20.92079757220018
Gagyapáti,48.405819,20.9952755360363
Gagybátor,48.4364556,20.927253279375872
Gagyvendégi,48.4337154,20.98285766753355
Galvács,48.4212083,20.789136528187665
Garadna,48.4207075,21.175402169375072
Gelej,47.834235250000006,20.77826670986488
Gesztely,48.11216985,21.006213937417627
Gibárt,48.314580500000005,21.158439934453938
Girincs,47.98181265,20.993948404908593
Golop,48.227773,21.1808522159144
Gömörszőlős,48.38042545,20.430009759183985
Gönc,48.4724881,21.2726277
Göncruszka,48.4461807,21.247551693172063
Györgytarló,48.21710795,21.631946709612993
Halmaj,48.2462494,21.0016795
Hangács,48.290306,20.85695253480467
Hangony,48.213720699999996,20.162663245592434
Háromhuta,48.3916051,21.421678794640844
Harsány,47.969894999999994,20.73995350984102
Hegymeg,48.3279946,20.854839151850168
Hejce,48.42251485,21.27633503323636
Hejőbába,47.909288450000005,20.947556971702543
Hejőkeresztúr,47.9589706,20.875745633121547
Hejőkürt,47.85943825,21.00007697201194
Hejőpapi,47.8971673,20.89562485892877
Hejőszalonta,47.933146199999996,20.87240628378906
Hercegkút,48.330296849999996,21.521429878892757
Hernádbűd,48.2989488,21.140843313601138
Hernádcéce,48.3497084,21.18695236558984
Hernádkak,48.093209,20.979428477730032
Hernádkércs,48.2419045,21.0485995
Hernádnémeti,48.0849531,21.020399462748365
Hernádpetri,48.486719449999995,21.166042014995305
Hernádszentandrás,48.284601949999995,21.1006529084377
Hernádszurdok,48.47682715,21.200109335911456
Hernádvécse,48.4511756,21.165910633380815
Hét,48.2872699,20.38908508981357
Hidasnémeti,48.507161499999995,21.189219569685037
Hidvégardó,48.55864875,20.829207918327782
Hollóháza,48.54528645,21.409331877590773
Homrogd,48.27730895,20.920714362375797
Igrici,47.87278955,20.875340272189195
Imola,48.41785085,20.549710489281267
Ináncs,48.294187699999995,21.042704269763533
Irota,48.4076427,20.8802471922098
Izsófalva,48.316185700000005,20.65196331578383
Jákfalva,48.336151,20.56830203806487
Járdánháza,48.14383925,20.233725338286096
Jósvafő,48.4961873,20.556678843794288
Kács,47.9784469,20.598953310153995
